id,name,description,price,category,brand,sku,stock,image
1,"Sauce Labs Backpack","carry.allTheThings() with the sleek, streamlined Sly Pack that melds uncompromising style with unequaled laptop and tablet protection.",29.99,"Accessories","Sauce Labs","sauce-labs-backpack",25,"/static/media/sauce-backpack-1200x1500.0a0b85a3.jpg"
2,"Sauce Labs Bike Light","A red light isn't the desired state in testing but it sure helps when riding your bike at night. Water-resistant with 3 lighting modes, 1 AAA battery included.",9.99,"Accessories","Sauce Labs","sauce-labs-bike-light",15,"/static/media/bike-light-1200x1500.37c843b0.jpg"
3,"Sauce Labs Bolt T-Shirt","Get your testing superhero on with the Sauce Labs bolt T-shirt. From American Apparel, 100% ringspun combed cotton, heather grey with red bolt.",15.99,"Clothing","American Apparel","sauce-labs-bolt-t-shirt",30,"/static/media/bolt-shirt-1200x1500.c2599ac5.jpg"
4,"Sauce Labs Fleece Jacket","It's not every day that you come across a midweight quarter-zip fleece jacket capable of handling everything from a relaxing day outdoors to a busy day at the office.",49.99,"Clothing","Sauce Labs","sauce-labs-fleece-jacket",10,"/static/media/sauce-pullover-1200x1500.51d7ffaf.jpg"
5,"Sauce Labs Onesie","Rib snap infant onesie for the junior automation engineer in development. Reinforced 3-snap bottom closure, two-needle hemmed sleeves and bottom won't unravel.",7.99,"Clothing","Sauce Labs","sauce-labs-onesie",20,"/static/media/red-onesie-1200x1500.2ec615b2.jpg"
6,"Test.allTheThings() T-Shirt (Red)","This classic Sauce Labs t-shirt is perfect to wear when cozying up to your keyboard to automate a few tests. Super-soft and comfy ringspun combed cotton blend slim fit you'll want to wear every day.",15.99,"Clothing","Sauce Labs","test-allthethings-t-shirt-red",18,"/static/media/red-tatt-1200x1500.30dadef4.jpg"
7,"Sauce Labs Sticker","Show your Sauce Labs pride with this high-quality vinyl sticker pack. Includes 4 stickers in various sizes.",2.99,"Accessories","Sauce Labs","sauce-labs-sticker",50,"/static/media/sauce-sticker-1200x1500.46c7c7cd.jpg"
8,"Sauce Labs Mug","Ceramic coffee mug with Sauce Labs logo. 11 oz capacity, microwave and dishwasher safe.",12.99,"Kitchen","Sauce Labs","sauce-labs-mug",8,"/static/media/sauce-mug-1200x1500.c79c09e7.jpg"
9,"Test Automation T-Shirt","Premium quality t-shirt for test automation enthusiasts. 100% cotton, pre-shrunk.",19.99,"Clothing","Test Co","test-automation-tshirt",22,"/static/media/automation-shirt-1200x1500.a1c2b3d4.jpg"
10,"QA Engineer Hoodie","Comfortable hoodie for QA engineers. Soft fleece interior, adjustable hood.",39.99,"Clothing","QA Gear","qa-engineer-hoodie",12,"/static/media/qa-hoodie-1200x1500.e5f6g7h8.jpg"
11,"Bug Report Notebook","Professional notebook for documenting bugs and test cases. 200 pages, ruled.",8.99,"Office","Bug Tracker","bug-report-notebook",35,"/static/media/bug-notebook-1200x1500.i9j0k1l2.jpg"
12,"Selenium WebDriver Book","Comprehensive guide to Selenium WebDriver automation. 450 pages.",34.99,"Books","Tech Books","selenium-webdriver-book",5,"/static/media/selenium-book-1200x1500.m3n4o5p6.jpg"
